"Một số chỉ tiêu tài khoản Quốc Gia","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Tổng sản phẩm trong nước theo giá thực tế - Tỷ đồng","441646","481295","535762","1809149","2157828","2779880","3245419","3584262","3937856","4192862","4502733","5005975","5542331.87","6037347.63","6293144.9"
"Tổng sản phẩm trong nước bình quân đầu người theo giá thực tế - Nội tệ - Nghìn đồng","5689","6117","6720","19278","24818","31640","36544","39932","43402","45462","48286","53093.55","58104.75","62573.58","64490.37"
"Tổng sản phẩm trong nước bình quân đầu người theo giá thực tế - Ngoại tệ (theo tỷ giá hối đoái bình quân) - USD","402","..","440","1064","1273","1517","1748","1907","2052","2097","2202","2372.95","2570.33","2714.2","2778.76"
"Tích lũy tài sản theo giá thực tế - Tỷ đồng","130771","150033","177983","632326","770211","827032","884160","956124","1056632","1160447","1196739","1330694","1470550.45","1620655.48","1699865"
"Tiêu dùng cuối cùng theo giá thực tế - Tỷ đồng","321853","342607","382137","1206819","1565602","2008700","2285623","2566803","2838048","3115085","3379404","3731554","4103654.73","4505237","4692674"
"Xuất khẩu hàng hóa và dịch vụ theo giá thực tế - Tỷ đồng","243049","262846","304262","1132688","1553687","2206971","2597264","2997380","3402495","3764320","4215636","5085742","5865549.65","6447618.74","6642395"
